,label,original
702,1,"Chris Ricci sleepwalks her way through most of this, but then quickly takes on an air of boredom and disdainmuch as I did when watching it. Without her this would be no more than a cheap kids ' movie, but at least she does add an air of quality. There are few, if any, more visually striking and charismatic young actresses in the business. There's not much wrong with it as long as you accept it for what it isa cheap Disney remake aimed at very undemanding children. I could watch Ricci all day so I'm probably oblivious to many of the movie's shortcomings, but unless you too are a Ricci fan, a catlover, or very small child, I doubt you will find this very entertaining."
718,1,"( Warning: spoilers! -- although it's hard to spoil this film by telling story details.) Eisenstein's black and white propaganda film is not for everyone. It's very old and it's, er, clumsy. What makes it great for me is the soundtrack, not the original but the updated soundtrack. Better still, the orchestral version Prokofiev created ( my favorite performance is by Fritz Reiner and the Chicago Symphony). The film is actually funny in places. It's reminiscent of the old "" Midsummer Night's Dream "". Some of the outdoor scenes are quite magnificent. Some of the actors are also quite magnificent. ( The actor who played Nevsky could have been a superstar today. Ditto for the warrior chick, Vasilisa -- definitely a rocker.)    This may be the world's best collection, on film, of pithy Russian sayings ( there are tons of them -- they make up the bulk of the spoken lines). The battle scenes actually look much more realistic than most highbudget Hollywood flix. These guys are as clumsy with their fighting as real peasants would be. The weapons look nasty, so the actors were probably trying to avoid actually wounding one another. The actor playing the German "" grand marshall "" is trying* really* hard to look scary early in the film, but he looks like he was really a pussycat. After he's captured he looks* so* pathetic. ( Speaks volumes about the intended audience, da?) A really humorous touch is that the German army brings an* organ* with it, played by a character in a black robe. Watch the Russians bring this guy down* while* he's playing. After the battle is over and almost all of the Germans are dead comes the best part of the film ( and the music), the song sung to the dead soldiers who've died defending the motherland. This part is so sad it's almost an antiwar statement. Ten times as many men as ladies have rated this film. Wonder why? Warning: Joseph Stalin liked this film. Ironic -- he killed more Russians than anybody. "" Those who come to Russia carrying a sword will die by the sword ""."
721,1,"I saw this fine flick shortly leaving college. As I sat there happily watching Alice go from repressed virgin to sexual adventurer, I got to wondering why her sexual encounters seemed familiar. Then I remembered-- Intro Psych 101 Lecture! One of the lectures dealt with the PsychoSexual Stages of Developement, basically the shift over time on what part of the body and its attendant stimulations gets our main attention, as well as the changing emphasis on what gives us pleasure. Alice's first encounter is being bathed, with emphasis on the genitals and bottom. Her next encounter is an oral one with the Mad Hatter's dingaling. I forget the rest of the lecture and the order of Alice's encounters, but I do remember how well they matched. It's interesting to see a skin flick with some brains behind it, rather than the cliche "" I'm here to deliver your pizza. Let's screw. "" I don't see how Kristin DeBell's career could be wrecked by this film, as it was her first film. And Reagan's tiresome hypocrisies had yet to mar this land when it was released, but in a way he and his stooge Meese did affect Ms DeBell. When Meese was staging his antipornography commission ( to distract people from his own criminal activities), Meese hired the services of an antiporn activist named Judith Reisner. Reisner was obsessed with images she perceived as child pornography. She saw the "" Alice "" cover Ms DeBell did for Playboy and promptly announced she had scientifically proven that Ms DeBell was in fact a photo collage of parts from several grown women and the face of a ten year old. Yeah, right ...."
744,1,"A cut above from the usual straight to video actioneer, Airborne has enough in the tank to keep it going for the full 90 minutes, although you can't help but think of how low former ' 80's comedy golden boy Steve Guttenburg has stooped to be in such a cheap production ( and playing a hard man too!). The plot is simple, the baddies have stolen a deadly virus and Guttenburg and the rest of his goodie pals are sent to retrieve it, Not bad of its kind but not in the same league ( obviously) as the films it is compared too on the cover such as AIR FORCE ONE and CON AIR. The cast is good though, with Sean Bean reprising his Brit.-bad guy character which we have had a glimpse of in such box office smashes as GOLDENEYE and PATRIOT GAMES."
764,1,"Jack Bender's "" The Tempest "" is an adaption of Shakespeare's play "" The Tempest "". Bender transports the plot from medieval Italy to Mississippi during the time of the American civil war. He includes the slavery problem and the role of revenge in wartimes. Prospero, renamed Gideon Prosper is not the Duke of Milan but a landowner in Mississippi. He learns voodoo magic from the female slave Mambo Azaleigh. He saves her son Ariel, who thus accompanies him into his exile. The island is not situated on the sea but in a swamp near the banks of the Mississippi. There lives an Alligator hunter, a socalled "" GatorMan "", who later tries to rape Prospero's daughter Miranda. During the time of the civil war, Ariel wants to join the Union troops to help fighting against slavery. Prospero does not care about the war. He is only interested in his personal revenge on his brother Antony. When Antony and his bookkeeper Willi Gonzo ( Gonzalo) try to cross the river, Prospero raises a storm. The Union soldier Frederick gets lost in the swamp and finally comes to the island. He and Miranda fall in love with each other but Prospero won't accept that. Meanwhile, Ariel transformed into a raven by Prospero, finds out that Antony has feigned to ally with the Union but plans to betray them. Antony and Gonzo meet Gator Man in the swamp and conspire with him against Prospero. They kidnap Miranda and Ariel but Prospero freeze them and helps the Union defeat the Southern army. In the end Ariel is free, Frederick and Miranda are bound to marry, Prospero returns to the plantation and Gator Man gets back the island. Peter Fonda represents Gideon Prosper powerfully and convincingly while the character of Antony stays rather flat. It was no bad idea to perform the Tempest before the background of the civil war but perhaps the director has risked too much. In some parts the story seems constructed or comical. Gator Man for example does just appear without any explanation. That it needs a kidnapping to bring Prospero to his mind and that he loses confidence in his power shows that Bender tried to make Prospero more human but only made him a weak old man without his magic. Prospero's original authority and wisdom is not made clear. -------------End of Part 1--------------------------"
774,1,"This was the first directing job by Sebastian Gutierrez, the writer of Snakes on a Plane and Gothika. Anyone who has read my reviews knows that I love capers, and this was a doozy. A kidnapping and a woman shot in the process. The FBI has Emma Thompson on the kidnapping case and the Police Chief ( Roscoe Lee Browne) assigns Alan Rickman to solve the murder, which happens to be a Senator's ( Hal Holbrook) wife. These two make an outstanding pair as they work together. The kidnappers/ murderers have lovers Simon Baker ( Land of the Dead) and the ultra hot Carla Gugino ( Sin City), along with a couple of partners. They kidnapped a hotshot computer mogul and they run his accountant all over town before they get the dough. Things go fast from there as new twists and turns are brought in. The whole thing is brilliant and definitely a "" piss in your pants because you can't go to the bathroom or you'll miss something "" thrill. Now, to be completely honest, I would have given this movie a 10 if there had been more of the movie the security guard was watching in the opening. I would have loved to see more of Beverly Hotsprings and Yvette Lera, but, hey, that wasn't part of the caper; just icing on the cake. Thompson and Rickman should definitely make more movies together. One treat: Agent Hawkins: So fill me in. Detective Friedman: That remark could be misconstrued as sexual harassment, Agent Hawkins. Agent Hawkins: Let's get it out of the way then: you've never worked under a female superior before. I got to where I am by pushing paper and playing niceI've never actually fired a gun before, I'm only in this job to prove to my father I'm not a coward. I give decent head, so I got promoted before all the worthy candidates, all of them men, all of them equally gifted at fellatio but there was a gender quota to fill. I'm also stupid and idealistic; you are hard and cynical, and usually right. I am secretly in love with you but I have a hard time showing it. Did I skip anything? Damn, that's great dialog! Gutierrez not only directs a great movie, but he can write too! And, did I say Carla Gugino was hot? Put this on your list."
823,1,"I'm not going to tell anyone what happens in the end, but it did not fit with the movie. The rest of Imaginary Heroes, though, portrayed a realistic family going through realistic issues, such as death, drugs, relationships, and high school. I could have sworn that they were my own family, no joke. Emile Hirsch was completely believable as a teen struggling with his brother's suicide, and Sigourney Weaver plays a mother trying to keep the remains of her ( slightly) dysfunctional family together. Although this family may take their issues to the extreme, anyone can relate to what they go through, whether it be graduation, living up to expectations, or being a parent."
859,1,"Imagine watching a slide show where the projector lingers on every slide long enough for you to completely memorize it three times over. Now imagine that the images in the slide show consist entirely of mundane scenes    a small park; and empty tennis court; a piano. Now imagine that the people running the slide show are having a frustratingly slow, semilucid conversation about events that only occasionally relate to the slides they're showing you. Great    you've just imagined the entirety of the film` India Song. ' The film is an agonizingly slow montage of images that do little except to simply scream out` Look at me! I am PROFOUND!! ' with such blatant selfimportance that the images themselves and the movie as a whole are rendered not merely bereft of profundity, but COMICALLY bereft of profundity. The visuals could easily have been replaced by a series of static images as described above, since it is so rare that there are actually people on screen, and even when they are, the people actually move only slightly more often than the furniture. They never speak or interact in any meaningful way    they just stand there looking at each other, and occasionally crying. The most energetic moment in the entire first hour of the film is when three people walk across a parking lot in slow motion. In fact, the visuals could easily have been left out entirely, as the story is told completely through narration. The story is about a woman who hates India because it's hot, and hates people don't hate India because it's hot ( this point is covered several times). It is also about a man who feels that he is entitled to sleep with the aforementioned woman, since she will sleep with anyone who asks her to, but he doesn't get to sleep with her simply because he never asks, and he's very upset about this. So he stares at her as a single tear runs profoundly down his cheek. Later on, he stares at his bicycle, as a single tear runs profoundly down his cheek. Actually, you don't get to see the single tear running profoundly down his cheek when he's staring at his bicycle, but you know it's there anyway, just because that's the sort of film this is. At best, the narration becomes background hum, serving as a perfect compliment to the comainducing visuals. Simply staying conscious through the entirety of this film would require a supreme act of determination. To watch it and actually come away with a serious and meaningful idea of what it was supposed to be about would induce the same sort of migraine as trying to read lengthy technical documents in the dark. This film is perhaps the greatest monument of pseudoartistic pretension that man will ever know."
928,1,"This is one of those strange, selfimportant, selfindulgent movies which tries too hard to be profound. It isn't. Instead, it spouts cliches that try to pass for Profundity. Typical is the scene where Peter ( Kelsey Grammer) explains to protagonist and best friend Adam ( Dwier Brown) how man starts life breast feeding, then moves on to sucking the breast of his girlfriend, and finally his wife, thus concluding ultimately that life sucks. So deep. We are treated to a variety of characters who offer their perspective of life, the universe, etc. during Adam's travels through the Mojave Desert on foot. ( He abruptly leaves L.A. the day of his wedding and his family, friends, and fiance assume he's dead when his car was found in a military test range smashed by a rocket.) Some characters are more entertaining than others. The best by far is an escapee from a mental hospital who only speaks through the voices of others. The actor, James Kevin Ward, does some great impressions, including Nicholson, Popeye, and several characters from the original Star Trek. But once the interesting characters leave the screen, we're stuck with Adam again and his pursuit of the profound. It's a long trip, which drags in many places. In fact, it's the longest hour and a half movie I've ever seen. And the finale hardly makes it seem worth while, at all. I discovered this movie playing on HBO one day by waking up too early and clicking on the TV. That'll learn me. Next time I'll try harder to sleep in."
945,1,"Thomas Edison had no other reason to make this film except to show that film can capture the electrocution of an innocent elephant. Edison was not a genius but a man out for money and profit; his love for life was measured by dollars, not experiences, as this film shows."
955,1,"This is about as pretentious a movie as a shallow director like Joel Schumacher could make, I suppose. A group of medical students take it turns to die for several minutes; upon revival they discover that their sins have manifested themselves somehow or other. As some of the characters are visited by dead people and some just seem to be haunted by their guilty consciences it's not quite clear exactly what the connection is, but the visions do all seem to look like sixth form art films. Why the students treat their experiment as some kind of grand journey that'll make them famous is a bit of a mystery, as the results are completely unproveable and, as the movie mentions several times, have been documented plenty of times before. Still, it's nice to see Schumacher practising for his Batman trainwrecks with a bit of the old neon paint and coloured lightbulbs. And William Baldwin is a plank."
1049,1,"Tarzan, the environmental awareness leader, faces four trappers who by most unorthodox means abduct animals to get them to Zoos. Tarzan has a bland but sexy enough wife with an impeccable hairdo, and a kid. No one should fault Tarzan for being grieved by the vicious actions of the hunters. This Gordon Scott Tarzan flick is one of the silliest, completely and unnecessarily silly; for one reason or another, the team did not find anything charming to sustain the movie, and so it's just some silly rubbish. Tarzan and his family are threatened by a group of evil trappers, because Tarzan's environmental awareness brought him into open conflict with the evildoers. The kid and the chimpanzee, both belonging to Tarzan, are kidnapped by the malevolent trappers; so Tarzan summons the unleashed animal forces of the jungle to release the kid and the chimp with Tarzan leading the attack. TARZAN AND THE TRAPPERS is silly, unappealing, quite uninteresting. Maybe as a kid I would have liked it? Now one has to be too mean as viciously mean as those pathetic trappers punished by Tarzan to ask a Tarzan flick not to be silly; this I concede. But one is also truly entitled to ask these Tarzan flicks, however silly, to have and to show some gusto a bit of gusto even a tiny bit of gusto. Some kick, some excitement, some fun. Now the Gordon Scott Tarzan failure is too silly exactly in the sense of not having any gusto at all, of lacking all excitement. ( Yes, I liked the sequence of the jungle beast eating a snake. What beast? Watch the movie, kiddos, now here I just gave you one excuse to do so.) For one reason or another, the villains look somewhat pathetic and elicit mercy rather than virtuous anger. The books leave the impression that Tarzan seemed quite bright in his own way; and if finding a decent bodybuilder or another sportsman to look clever enough for the role might prove a too demanding, next to impossible task, Gordon Scott was anyway too far from meeting that ideal. The wife chides Tarzan for disliking books. The script suggests Tarzan was uneducated, almost illiterate, and adverse to learning; but the book says otherwise, and we know that Tarzan studied much, by himself, using the books of his gone family, before even meeting white people. And I did not like that yell. ( It's supposed, dear kiddos, to be a genuine wild yell, not a missed yodeler.)"
1068,1,"Some people don't appreciate the magical elements in ROS, but they are what sets this series apart, that and the fact the producers actually decided to dress the actors in proper period clothes and armour -- not anachronistic feathered caps, multicoloured tights and plate armour! But I am really writing to comment on an earlier poster's article. Um, Michael Praed did not leave ROS to do Jules Verne! There are 15 years between these two series. Yup, I agree and Michael might well agree too that leaving ROS was not a good move -- but it was a coveted Broadway role that tempted him in ' 84 and then Dynasty with its megabucks paychecks ...."
1087,1,"Perry Mason: The Case of the Glass Coffin finds Raymond Burr defending David Copperfield/ Rick Blaine like magician Peter Scolari from a murder charge involving one of his assistants. A trick involving a suspended glass coffin in midair goes awry and the body of Nancy Grahn comes a tumbling out. Nancy was one of six female assistants who work with the act and we learn two things about her. First in a moment of drunken weakness, Scolari got seduced by her and she claims she was impregnated. Secondly she is living under an assumed name and had a secret from her past. Billy Moses who probably never thought he'd be doing such rough stuff back in law school gets to tangle with a couple of good old boys when goes seeking the truth in Grahn's home town. A little more action than usual for Ken Malansky, he almost gets himself killed.    One big flaw in this mystery is simple forensics. The medical examiner's report should have provided concrete evidence that the victim was killed in such a way that Scolari could not possibly have done the deed. The police should have been looking in a different direction for the killer.    When you see who the killer is you won't blame the individual, but you'll also see how the investigating officer James McEachin got it wrong from the start. It kind of spoils this particular Mason film."
1094,1,"Shaky hand held cameras ( this piece was shot for television mind you, not film) not only keep you utterly conscious of how horrible the cinematography is in this film, but make you absolutely unable to become immersed in the story. Poor Miss Austen must be rolling in her grave. All I can say is, if you enjoyed the novel, stop there, until the BBC creates one of their smart & sensible period masterpieces ( like Pride & Prejudice with Colin Firth, which, speaking for what I imagine in my opinion, Austen would have revered). The BBC would never dare overdub cheesy saxophone solos and Indigo Girl hollers over a shot of an historic castle and a loving embrace. Giles Foster seemed to be often confused that they were editing the music to The Specialist. If you want Austen as you love her, look for the BBC logo ..."
1140,1,This is the best show ever no matter what you say!I have been watching this show since cycle 1.This show is never boring its wonderful how you see peoples dream come true of being a model. Tyra is trying her best to help young women not be ashamed of their bodies and make them believe that they are beautiful in their own way and that you don't have to feel beautiful by being anorexic. And just as Tyra says on the Tyra show so what if your curvy so what if you have a big round booty so what if you have a big nose so what if your not as beautiful as the people in magazines you are beautiful to her. SO WHAT ...............................
1218,1,"I approached this movie with the understanding that it was one of the worst flicks ever made. I sat down to watch it with this mindset, and was pleasantly surprised. It's not great. It's not even that good; in fact, it's pretty poor. However, it's not as bad as I had been led to believe, by a long shot. It's pretty inept, and, evidently as a cost cutting measure, a lot of stock footage is pressed into service, a lot of which has no apparent relation to the narrative. What it is, however, is an intensely personal movie made by a man who evidently did not have the skills or the funding to do his idea justice. Before you discount_ Glen or Glenda?_ out of hand, examine your own artistic skills. Me, I'd love to be able to draw, but anything I try to sketch comes out like stick men. I'd love to be able to sing, but all I do is frighten young children. Wood had an idea, and unfortunately he didn't have what it takes to make it work. However, this was an incredibly daring movie for the puritan 50s, however exploitative or incoherent it may appear at first glance."
1313,1,"It wasn't until I looked at the trivia section that I found out that the original producer/ star of this movie Tyrone Power died during its making. This no doubt explains why everyone on screen seems to have their minds on other things, a symptom of which appears in a very early scene involving a battle that can only be described as pathetic. You know when you've been painting a wall until you're completely bored? Well that's the sort of expression the combatants have on their face when they're swinging their swords in a highly unconvincing manner    The plot centres on Soloman the King of Israel having an affair with the Queen of Sheeba and his people not being happy about it. You can't really blame them since there's few things more beautiful in the world than those Israeli moteks, though the Israeli women here all seem to look like Cherie Blair! Modern day Israel is also very cosmopolitan with the majority of Israelis being born outside the country but would this have been true a couple of thousand years ago where everyone speaks in European and American accents    After much talking and a dance sequence that has to be seen to be believed ( And no that's not praise) we have a climax where the heavily outnumbered Israelis have to defend themselves against a massed Egyptian army who can't read a map otherwise they would have known there was a canyon in front of them. This is what I don't getEven though their blinded by the sun the Egyptians spend ten minutes charging towards the Israelis never ever realising they're charging towards a gaping ravine! Isn't this somewhat illogical? It's also something of a revealing error since the horses, chariots and men falling into the canyon are obviously miniature figures    Anyway the film ends with Soloman killing his treacherous brother and praising God for his victory. But who needs Moshe Dayan, Arik Sharon or God when you've got an idiotic enemy who can't see a ravine in front of him or waves a sword like he paints a wall?"
1394,1,"Hal Hartley entry into a European film series is one of his two or three best efforts to date, and, lucklily, one of the few available on DVD. At only 63 minutes running time, my only quibble would be with Hartley I always leave wanting more, but never so much as this time. Martin Donovan is astonishing as Jesus. PJ Harvey is beautiful and interesting as Magdelena, but the high point for me was Thomas Jay Ryan ( Henry Fool) as Satan. Hartley gives him excellent dialogue and a chance to use his resounding voice to full effect. Look for three scenes in which a microphone awaits him, as if a poetry slam is about to be won by the devil. I have read other comments on this film and had to add mine because there is not enough praise going around. If you like Henry Fool, Martin Donovan in anything ( Opposite of Sex), and/or very clever comedies based on biblical ideas, get this as quickly as possible."
1424,1,"This program would be useful for training hardened felons basic human emotions. Beyond this purpose, the show has no value other than to fill bandwidth that would otherwise go unutilized in the electromagnetic spectrum. I feel a greater sense of suspense and anticipation listening to a computerized voice chip endlessly droning out the products of a random number generator. Fortunately, the helpful and frequent music cues will tell viewers how they're supposed to feel, in case they are unable to fully internalize the predictable and shallow plot line. I did find Amy to be a superficially positive character, as she is a role model to young women that they can serve in traditionally male fields. Unfortunately, her totally subjective approach to the law is guided solely by whatever capricious personal guidelines Amy elects to employ, resulting in Amy's trials more closely resembling appeals to the personal mercy of a tribal despot than a true administration of justice. This show is unpalatable in any amount, although this is to some extent mitigated after two episodes by the brain's godgiven filtering processes, by which the show will thankfully leave the same imprint on the viewer's memory as a television tuned to a dead channel at maximum volume."
1436,1,"The characterization in this movie is among the worst I've ever encountered. The dialogue is trite and clich to the point of extreme distraction. None of the issues the characters face are developed at all -- they're merely surface details intended to get a point across without having to actually come up with believable dialogue to support said point. Also, the depiction of the Chinese characters leaves a bit to be desired -- I find it hard to believe that the Chinese father learns flawless English from a book(or so it is implied in one scene) so he can teach it to his daughter. Etc. The Smile Train is a great organization and it's a nice idea, to make a heartstringtugging film about the impact a program like this can have on kids ' lives, but overall, I found this movie to be more frustrating than anything."
1672,1,"See .. I really wanted to enjoy this movie. There were moments when my heart beat faster, when the hair on my neck began to stand up, when my muscles began to tighten .. but just like a strip tease, I was left with no real action, no resolution, and money missing from my wallet. Jaume Balaguer and Miguel TejadaFlores apparently don't know the correct recipe for making a Horror Movie, and as such, utilized the old amateur cook's method of throwing everything into the pot. This movie is really The Shining, Poltergeist, Amityville, and Hellraiser all rolled into one. Amazing, I know, but true. All the flavors are there, you can taste each of them, they just don't mix well. I'm not gon na go down the list of every thing wrong with this movie; in short, good cinematography, mediocre acting, worse dialogue. The -real- problem with stealing from so many movie plots and combining them into one movie, aside from the resulting confusion, is while you CAN have several plots running at one time, you can't have several endings. And what does Jaume do when he runs into this problem? Just like a Freshman in English 101, you end your story with ellipses, "" The little car vanished into the darkness and ..... THE END "" Oooh, spooky. Not really. And very anticlimactic. The ending left me confused and disappointed; almost empty. Take your$ 10, go rent The Shining, Poltergeist, and Hellraiser .. scare the pants off yourself, have a great time, and forget that The Darkness ever existed.    -BJamin"
1822,1,"This is probably the second best of the Death Wish movies. Death Wish 5 is the best one. Death Wish 3 reminds me of "" West Side Story "" with a new twist. Not even the recent flick "" Gangs of New York "" can measure up with one New York neighborhood in Death Wish 3 which is plagued not by two rival gangs --- but one big gang. A gang that is willing to do things like cutting a person to death with an ax if he trespasses on its set. Deborah Raffin, who plays a public defender, plays gently in this actionpacked movie that is filled with a lot of shootemup violence. So, like Geri Nichols in Death Wish II, Death Wish III scores with its gentle, romantic moments as well as its violent moments. Only the James Bond loveinterest scenes would do much better. And, in addition to his .38, Kersee plays with this new gun called the Wildey .475 Magnum. It reminded me of the Dirty Harry movies when Callahan used his .44 Magnum in Magnum Force, Sudden Impact and Dirty Harry. The Wildey gun packs a big punch and when Kersey kills with it, he doesn't care if the gun has a big kick in it. And that antitank missile that killed off the main gang leader? Well, that is something. Kersey would not use an antitank missile as his regular vigilante weapon .... that is way too military for him."
1885,1,"When I first saw "" Race Against Fear "" ( don't you just love LMN movie titles?), I had to keep scratching my head. Was this meant to be serious? Why couldn't the main character even run like a normal person running, much less like a star runner? How did I know that the coach was evil only 1 minute into the film? All of these questions, and no answers. Then, I just let the inane script and the awful directing just carry me away ... it was easier not to resist ... then the film became funnier by the minute, and I now rank it among my top ten junk movies from LMN. Some have said here that Ariana Richards is really talented but that the material was flawedI heartily disagree. Not only can she not convince me that she's an athlete, she's walks wideeyed through the rest of the story, like she's just landed on earth. Maybe the coach broke out of prison and finished her off ... at least I hope so."
2026,1,"Focus is another great movie starring William H. Macy. I first discovered Macy in Fargo and I've seen a few of his films and he hasn't yet deceived me. Macy is the archetypal "" nice guy with something to hide "". In Focus, he plays the role of Lawrence Newman, a loyal and hardworking stiff, who harbours his handicapped mother at home. The scene is set after World War II, at the height of McCarthyism. Newman is the head of Human Resources for a company which is basically, antiSemite. After he accidentally hires a woman of Jewish descent, he is asked to buy a pair of glasses, to improve his failing eyesight. Unbelievably, the simple act of buying glasses has great repercussions on his life and that of Gertrude Hart, his wife ( played by a great Laura Dern). As the film unravels, Newman will begin to see a whole different world, where being Jewish is akin to being an animal. The movie is disturbing in the way it shows that being racist was something fairly normal. The chilling thought is that in some places, it probably still is."
2159,1,"This short deals with a severely critical writing teacher whose undiplomatic criticism extends into his everyday life. When he learns why that's not a good idea, we learn a bit about the beautiful craft of writing that he's been lecturing on."
2266,1,"There must have been some interesting conversations on the set of Eagle's Wing, with Martin Sheen straight off Apocalypse Now costarred with the actor he replaced on Coppola's film, Harvey Keitel. A real unloved child of a movie, dating back to the last major batch of Westerns in 197980, it was much reviled at the time for being made by a British studio and director ( conveniently ignoring the fact that many of the classic American westerns were directed by European migrs), which seems a bit of an overreaction. The plot is simplicity itself, as Martin Sheen's inexperienced trapper finds himself fighting with Sam Waterston's nonosyllabic Kiowa warrior over the possession of a beautiful white horse, the Eagle's Wing, across a harsh and primitive landscape in a time "" before the legends began. "" Aside from Caroline Langrishe's captive Irish governess, the supporting cast have little to do ( Stephane Audran never even gets to open her mouth) and it is a little slow, but Anthony Harvey's film does boast terrific Scope photography from Billy Williams and a good score from Marc Wilkinson."
2282,1,"YOU BELONG TO ME ( 1941) is a example of the ' ScrewBall Comedy ' which started in the mid 1930s and ended postwar ( WWII). Some of these films maintained their status. Others have earned undeserved praise when originally were critical and box office flops. Like BRINGING UP BABY ( 1938) or MR. & MRS. SMITH ( 1941). Then there is this one which value just keeps sinking. Why can be rooted in the screenplay/ story. It strains credibility from the get go, betraying a superior cast. BARBARA STANWYCK is married to millionaire HENRY FONDA who is insanely jealous. He would be content to sit back with his million$ and love her, she wishes to maintain her profession as a Doctor. She wants him to become in what her eyes is a useful member of society. This conflict is supposed to amuse us. It can not be salvaged by either the principals or the supporting cast. The faults in this scenario can clearly be laid at the feet of DALTON TRUMBO. HENRY FONDAs ' character is written in such broad strokes that any viewer has a instant dislike for him. BARBARA STANWYCK just has nothing to do but react to each idiotic situation of jealousy. TRUMBO must have been spending to much time outside the studio being a "" useful idiot "" then being on the job. COLUMBIA obviously did not get their moneys worth from him, maybe ROBERT RISKIN should taken over."
2292,1,"Aya! If you are looking for special effects that are 1020 years before its time, this is it. The glowing lightning bolts, fireballs, etc. look like they came from a cheesy 70's scifi flick. And yes, Hercules really grows; he's not being pushed on a cart closer to the camera!"
2311,1,"I tivo'd this on Turner Classic just because it was precode and sounded interesting. When I got around to watching, I noticed that the "" critique "" gave it one and a half stars on a fourstar scale. I started watching with trepidation -- even old movies can be bad movies -- but I quickly got engaged in the story and Mary Astor's performance as the business brains behind a simple salesman's rise to success. Not a truly great movie -- too predictable -- but certainly better than advertised. And I would have liked to have seen more of Ricardo Cortez as the man who appreciates Mary but won't give up his wealthy wife. I'd recommend giving it a look just to appreciate Astor and what a long way we've come, baby."
2558,1,"It starts a little slow but give it a chance. In the spirit of the "" Wackiest Ship in the Arm "" and the "" Pink Sub "" this movie is about a not so orthodox group engaged in not so orthodox methods to outwit everyone. Rob Schneider is priceless as a LT that takes himself way too seriously which results in a failed mutiny attempt and "" pirate "" crew makes him walk the plank. In contrast Kelsey Grammar(similar to Cary Grant)does not take anything to serious except the job. This movie is more about lines than plot. From the "" beered up "" fisherman in Charleston harbor to the "" whale "" decoy, their antics took me by surprise and I laughed out loud."
2714,1,"Watching Showtime I got the impression that the producers got the idea to put Robert DeNiro and Eddie Murphy just for the sake of having a film that costarred the two of them. Other than that I can't think of a reason to justify the film's existence. Not that it isn't amusing in spots, it certainly is, but the concept is so completely ludicrous that the laughs are somewhat muted. The thing that really got me was Eddie Murphy's character. I can't seem to wrap my mind around the concept of someone being a police officer as strictly a day job. When I was working person at New York State Crime Victims Board I had to deal with all kinds of cops and they ran the gamut between the really dedicated and some real slugs, but I can't think of one who thought that this was just something I do until I get my career going in an area far afield. I mean, can you really see Eddie Murphy or anyone else going through the rigors of the real Police Academy, not the screen version, just to get a day job? Anyway DeNiro is your basic hard working detective who's on the trail of a major gun dealer. He's undercover and Murphy is part of his backup. So what does the showboating Murphy do, he calls a reality based TV series like COPS to film the action.    So DeNiro's bust gets blown sky high, but the producer of the show gets some good footage of Murphy and DeNiro and decides on a new reality based television series. So these unwilling partners get joined and try to continue working DeNiro's case with all the TV cameras around. Eddie Murphy's a funny guy, I loved him in Beverly Hills Cop and in the Doctor Doolittle movies, but he's done better things than Showtime and Robert DeNiro certainly has.    I guess Murphy wanted a chance to work with DeNiro and DeNiro must have gotten one hefty paycheck to do this film."
2954,1,"It was only a matter of time that a spoof would be made of sports movies! And there are plenty of movies to be spotted which are made fun off. But the biggest problem I had was the fact that it stays with recognizing movies. The director and writers of "" The Comebacks "" somehow forget to get creative. While I must admit that I laughed at certain scenes,""The Comebacks "" could have been so much funnier. The actors forget to deliver their lines seriously and have a straight face throughout the movie. A spoof demands this and that is the main reason why silly jokes work in movies like this. Because of the failure of the cast to do so the jokes never hit their mark. Some scenes take forever and normally in spoofs that doesn't have to be a problem. Take "" Naked Gun "" for instance. Their is always something happening on screen. In "" The Comebacks "" they didn't even bother to let stuff happening in the background. Only a couple of factors make this movie worth watching! It still is fun to spot the movies that are made fun off. And Jermaine Williams as Ipod. His parody on Cuba Gooding Jr. as Radio was hilarious! He seemed to be the only one in the cast to get the idea of what a spoof is about. Not entirely bad!"
3189,1,"I love this show. My girlfriend was gon na get an abortion until we both watched Wonder Showzen one night. Luckily, she killed herself before the baby was born. Though technically I think it was considered a murdersuicide. My first thoughts upon seeing Wonder Showzen? Now I know what God watches when He jerks off all the time. Wonder Showzen is to television what a toaster in the bathtub is to my selfesteem. You know how George W. Bush makes speaking gaffes all the time? Tyler wouldn't. Tyler's good. Tyler cuts his nails. He's Tyler. He's good. Tyyyllerrr ..."
3546,1,"I think Homegrown is a bit of a misnomer for this moviemore like "" Plantation Grown "" but it doesn't have quite the same ring to it. My guide described it a comedy, but the pathetic travails of these hapless buffoons is not my idea of a belly laugh. More in the genre of the farcical thriller/ drama. The characters developed well enoughan allstar cast made it ohso promising, just a shame the plot was patently absurd. Ted Danson provided a fine cameo as did Jamie Lee Curtis in her walkon part. Jon Bon Jovi has this amazing ability to measure THC content in the front seat of his car! I guess if you imbibe a few beforehand you should be able to sit through this onenot for the gun shy paranoid types though."
3579,1,"This is a serious film about black revolutionaries and not really an action film. Billy Dee plays a young man fed up with racism who decides to take things into his own hands. It's fairly gritty and realistic without exploiting the characters but still it's not that interesting either and Billy Dee's character, though maltreated by white authority figures, doesn't really come off as sympathetic. It's also hurt by it's extremely low budget. Still, it's interesting to look at as it's a good depicttion of 1970s social issues."
